## GEOMETRY EXPORT ##
# z=0.0
idx_polygon,idx_container,s0_name,s1_name,w,shear_w,poisson,vertex_i,x,y
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,0,8.113285044351216e-18,0.1325
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,1,-0.003251712779285859,0.1324600934772471
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,2,-0.006501466848382887,0.1323403979471854
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,3,-0.009747304676955922,0.1321409855099265
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,4,-0.01298727109366679,0.1318619762840661
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,5,-0.01621941446389614,0.1315035383343291
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,6,-0.01944178786533542,0.1310658875703335
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,7,-0.02265245026073992,0.1305492876165347
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,8,-0.02584946766713699,0.129954049653428
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,9,-0.02903091432078523,0.129280532230105
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,10,-0.03219487383718246,0.1285291410482771
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,11,-0.03533944036542403,0.1277003287178958
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,12,-0.03846271973621624,0.1267945944845177
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,13,-0.04156283060285312,0.1258124839285774
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,14,-0.04463790557446914,0.1247545886367503
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,15,-0.04768609234088594,0.1236215458456029
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,16,-0.05070555478837439,0.1224140380577455
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,17,-0.04209517756015987,0.1016267485762415
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,18,-0.0395884540188487,0.1026292078718213
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,19,-0.0370578838731442,0.1035698471701323
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,20,-0.03450499144387806,0.104448099865234
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,21,-0.03193131449799084,0.105263436930543
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,22,-0.02933840332223881,0.1060153672374984
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,23,-0.02672781978935903,0.1067034378513998
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,24,-0.02410113641725566,0.1073272343042381
0,,0_1_C,0_1_C,35000000000,14583333333.33333,0.2,25,-0.0214599354217741,0.1078863808443554
